"Data" "Rs" "Tmax" "Tmin" "RHmax" "u2" "RHmin" "DiaJuliano" "N" "Qo" "n" "n.N" "Tmed" "esMax" "esMin" "esMed" "ea" "DPV" "Delta" "BOC" "BOL" "Rn" "ETP.Penman" "W" "ETP.Priestley"
"1" 1980-01-01 18.51 31.1 21.8 82 2 82 1 12.4274224071431 38.0803630341081 5.86766462523462 0.472154597550492 26.45 4.52802739291588 2.61504335174219 3.57153537232904 2.92865900530981 0.642876367019226 0.210398177303179 14.2527 -0.382724133333063 13.8699758666669 4.50727154873355 0.7475 5.33201500817153
"2" 1980-01-02 9.65 26.5 21.8 91.5 1 91.5 2 12.4255945245469 36.9274408718438 0.281396991696826 0.0226465615903466 24.15 3.46798341414712 2.61504335174219 3.04151338294466 2.78298474539436 0.258528637550296 0.18234102570882 7.4305 -0.0902172780237202 7.34028272197628 2.21277847655188 0.7245 2.73498934220836
"3" 1980-01-03 13.7 29.9 21 86 1 86 3 12.423628533063 36.2074924888206 3.18975978367455 0.256749449259985 25.45 4.22743064825167 2.48981333854248 3.35862199339708 2.88841491432149 0.470207079075591 0.199364410192512 10.549 -0.242090551672641 10.3069094483274 3.24476903382084 0.7375 3.90926351218702
"4" 1980-01-04 13.86 30.3 22 82.75 1.666667 82.75 4 12.4215255888863 36.5767429607544 3.20299746554983 0.257858621521949 26.15 4.32564032058364 2.64719766525022 3.48641899291693 2.88501171663876 0.601407276278171 0.205852017167756 10.6722 -0.245443338069076 10.4267566619309 3.48042976235157 0.7445 3.99225617218675
"5" 1980-01-05 9.66 25.1 21.6 90.97 1.07 90.97 5 12.4192869204608 37.7158366091077 0.152156909998197 0.0122516623516861 23.35 3.19166785017203 2.58323082693494 2.88744933855348 2.6267126632821 0.260736675271379 0.174169004135946 7.4382 -0.0874575021407562 7.35074249785924 2.19420358506958 0.7165 2.70864359985402
"6" 1980-01-06 16.1 31.2 20.8 80.67 1.38 80.67 6 12.4169138261503 38.6155139991344 4.14553255372315 0.333861747916182 26 4.55389544205531 2.45933743252334 3.50661643728933 2.8287874799613 0.677828957328027 0.207280525060502 12.397 -0.30213854029416 12.0948614597058 3.97921135276457 0.743 4.62161934748874
"7" 1980-01-07 18.3 31.6 22.3 78.97 1.29 78.97 7 12.4144076718035 38.4810701145151 5.60035035726035 0.451117000932738 26.95 4.6586565238543 2.69607677209296 3.67736664797363 2.90401644190478 0.773350206068855 0.215813642593849 14.091 -0.375125935515845 13.7158740644842 4.52939346976126 0.7525 5.30804326295537
"8" 1980-01-08 17 31.5 21.4 79.41 1.4 79.41 8 12.4117698882232 37.4450850412869 5.06395663147281 0.407996335500685 26.45 4.63227185039717 2.55175701516125 3.59201443277921 2.85241866106997 0.73959577170924 0.211604593183861 13.09 -0.351273594807364 12.7387264051926 4.23020556752308 0.7475 4.89713039376763
"9" 1980-01-09 19.66 31.3 23 85.35 0.92 85.35 9 12.4090019685485 36.449224735193 7.1818456650201 0.578760941711751 27.15 4.57989184547873 2.81320527436618 3.69654855992245 3.15500419589381 0.541544364028639 0.216611358985695 15.1382 -0.415578530004829 14.7226214699952 4.62552857114021 0.7545 5.71279777668584
"10" 1980-01-10 12.17 29.6 22.1 81.5 1.666667 81.5 10 12.4061054655595 36.4004473501369 2.09257627768578 0.168673100796616 25.85 4.15505175634096 2.66340395998961 3.40922785816529 2.77852070440471 0.630707153760578 0.201753572647054 9.3709 -0.193405212535915 9.17749478746408 3.16413692108708 0.7415 3.49977208366523
"11" 1980-01-11 10.15 29.6 21.9 84.5 0.666667 84.5 11 12.4030819889145 37.3576373038466 0.538247240197483 0.043396249470781 25.75 4.15505175634096 2.63107759181221 3.39306467407658 2.86713964959471 0.52592502448187 0.200949754275095 7.8155 -0.102969512863713 7.71253048713629 2.49493164996164 0.7405 2.93715196751542
"12" 1980-01-12 10.62 30.3 22.3 87.11 1.58 87.11 12 12.3999332023287 38.4780385513697 0.64483607415513 0.0520031893425063 26.3 4.32564032058364 2.69607677209296 3.5108585463383 3.05830887971529 0.452549666623007 0.207059172558988 8.1774 -0.101236879137822 8.07616312086218 2.67558740023314 0.746 3.09847766819821
"13" 1980-01-13 9.84 28.6 21 95.5 1.333333 95.5 13 12.3966608207058 38.7721847613093 0.0939713119617883 0.00758037291823221 24.8 3.92151635996641 2.48981333854248 3.20566484925445 3.061409931038 0.14425491821645 0.191230000989058 7.5768 -0.0721060161663288 7.50469398383367 2.17856094902799 0.731 2.82133609826524
"14" 1980-01-14 14.07 29.6 21.3 89.86 1.3 89.86 14 12.3932666072298 37.9910764809531 2.98306242051893 0.240700254021705 25.45 4.15505175634096 2.53614617156799 3.34559896395448 3.00635522900949 0.339243734944984 0.198591376314676 10.8339 -0.220619381170658 10.6132806188293 3.23349974965065 0.7375 4.02546572042741
"15" 1980-01-15 9.69 27.8 21.2 83.17 1 83.17 15 12.3897523704292 36.8501413662639 0.321066278950291 0.0259138576261285 24.5 3.74299841412614 2.52061886287571 3.13180863850093 2.60472524464122 0.527083393859705 0.187252613255951 7.4613 -0.0994900797166363 7.36180992028336 2.42571084410937 0.728 2.75626163415409
"16" 1980-01-16 16.9 31.6 22 79 0.666667 79 16 12.3861199612214 36.38850608883 5.31197003263831 0.428864733206934 26.8 4.6586565238543 2.64719766525022 3.65292709455226 2.88581240469629 0.767114689855975 0.214622948168939 13.013 -0.362213886199333 12.6507861138007 4.09826011825986 0.751 4.88609504818164
"17" 1980-01-17 11.58 30 22.4 93 0.666667 93 17 12.3823712699474 37.0373471395655 1.55169393821341 0.125314764384383 26.2 4.25179942092899 2.71254407232117 3.48217174662508 3.23841972436132 0.243752022263756 0.205523223252445 8.9166 -0.135599321688044 8.78100067831196 2.68917660591131 0.745 3.36437768846181
